date,datetime,open,high,low,close,volume,funding_rate,open_interest,ma_5,ma_20,ma_60,ma_cross,momentum_12,macd,macd_signal,macd_hist,atr_14,bb_mid,bb_upper,bb_lower,bb_width_20,bb_pos_20,rsi_14,volume_ma_20,rel_volume_20,price_position_20,log_return,ret,volatility_20,funding_rate_zscore,oi_change,oi_rsi,natr_14,buy_stars,sell_stars,instrument,btc_ret,btc_corr_24h
2025-08-29 12:00:00+00:00,2025-08-29 12:00:00+00:00,0.21478,0.22107,0.21216,0.2133,203093813.948264,,0.0,0.2179479999999999,0.219108,0.221776,0,-0.0380625958329575,-0.0013839006471002,-0.0008770191488704,-0.0005068814982297,0.0058110924786663,0.219108,0.2268341726618062,0.2113818273381938,0.070523875548188,0.1241347265825753,39.819229073213776,107773164.51806296,1.884456254545863,0.15,-0.0071008426925962,-0.0070756912764176,0.0144009659584315,,,,0.027243752830128,0,0,DOGE,-0.015469620285358143,0.5889137296687037
2025-08-29 16:00:00+00:00,2025-08-29 16:00:00+00:00,0.21327,0.21433,0.20982,0.21209,108896045.139168,,0.0,0.215486,0.219185,0.2217769999999999,0,-0.0370050853614238,-0.0017988812715883,-0.001061391573414,-0.0007374896981742,0.0057181573016187,0.219185,0.2265926055510564,0.2117773944489436,0.0675922672724536,0.0211003102758205,38.41548768906499,110563048.67774925,0.984922597933782,0.05,-0.0056889125900498,-0.0056727613689638,0.0144427929978021,,,,0.0269609943968066,0,0,DOGE,-0.0016071578492871108,0.6017569221777954
2025-08-29 20:00:00+00:00,2025-08-29 20:00:00+00:00,0.21204,0.21462,0.20983,0.21394,59455204.064086,,0.0,0.213754,0.219249,0.2218518333333333,0,-0.0227480358121688,-0.0019559301224369,-0.0012402992832186,-0.0007156308392183,0.005651860351503,0.219249,0.2264492163856402,0.2120487836143598,0.0656807227001281,0.1313305242750704,41.79405548839008,105263338.29452464,0.5648234706154917,0.15,0.0086848889907297,0.0087227120562025,0.0144004180882445,,,,0.026417969297481,0,0,DOGE,0.0015690855040710883,0.6006420570403268
2025-08-30 00:00:00+00:00,2025-08-30 00:00:00+00:00,0.21394,0.21885,0.2113,0.2176,89552446.434987,,0.0,0.2143499999999999,0.2191555,0.2219478333333333,0,-0.0166305133767173,-0.0017647184799687,-0.0013451831225686,-0.0004195353574,0.0057874417549671,0.2191555,0.2263902922568683,0.2119207077431317,0.0660242819082185,0.3924986409579823,47.885417810035456,105022815.6895974,0.8526951581613065,0.3,0.0169629131038027,0.0171076002617556,0.0129940057964543,,,,0.026596699241577,0,0,DOGE,0.000482535980300014,0.5688896686628477
2025-08-30 04:00:00+00:00,2025-08-30 04:00:00+00:00,0.2176,0.21828,0.21607,0.21726,45923337.768618,,0.0,0.214838,0.2190985,0.2220241666666666,0,-0.0299593695584229,-0.0016219205437902,-0.0014005306068129,-0.0002213899369772,0.0055319102010409,0.2190985,0.226374051594212,0.2118229484057879,0.066413522632168,0.3736521914391627,47.38927164308996,103718440.23122063,0.4427692671258901,0.3,-0.0015637219761826,-0.0015624999999999,0.012954297139515,,,,0.0254621660730964,0,0,DOGE,0.0009369409247681482,0.5704691124244935
2025-08-30 08:00:00+00:00,2025-08-30 08:00:00+00:00,0.21727,0.21767,0.21481,0.2159,31951880.273808,,0.0,0.215358,0.218832,0.2220551666666667,0,-0.035816362986781,-0.0016000484223535,-0.001440434169921,-0.0001596142524325,0.0053410594723951,0.218832,0.2261659610034442,0.2114980389965557,0.0670282317343375,0.3001080181212427,45.36453966360394,100395015.60314864,0.3182616196815044,0.3,-0.0062794554848431,-0.0062597809076682,0.0126372498412545,,,,0.0247385802334189,0,0,DOGE,0.001606786831718443,0.5647740191296583
2025-08-30 12:00:00+00:00,2025-08-30 12:00:00+00:00,0.21589,0.21673,0.21284,0.21605,55245133.961869,,0.0,0.21615,0.2186919999999999,0.2220718333333333,0,-0.0233262510736403,-0.0015527121628536,-0.0014628897685075,-8.982239434604457e-05,0.005237412367224,0.2186919999999999,0.2261254664861046,0.2112585335138953,0.0679811468741852,0.3222901788190842,45.6404072890917,98190387.7868166,0.5626328116944906,0.35,0.0006945248571803,0.0006947660954144,0.0124364828153143,,,,0.0242416679806714,0,0,DOGE,0.0014505951395404892,0.5695482448458895
2025-08-30 16:00:00+00:00,2025-08-30 16:00:00+00:00,0.21602,0.21607,0.21457,0.21539,16306759.877604,,0.0,0.21644,0.218444,0.2219728333333333,0,-0.0193051951008513,-0.001550580197002,-0.0014804278542064,-7.015234279559245e-05,0.0049704543409937,0.218444,0.2259700385329894,0.2109179614670106,0.0689058846476844,0.2971044137886619,44.57394725494052,96101286.791053,0.1696830544325464,0.3,-0.0030595239886784,-0.0030548484147188,0.0123220208752945,,,,0.023076532527015,0,0,DOGE,-0.0003288274179608086,0.5666590619552011
2025-08-30 20:00:00+00:00,2025-08-30 20:00:00+00:00,0.21539,0.21616,0.21445,0.21597,14236276.849622,,0.0,0.216114,0.2181555,0.2218781666666666,0,-0.037566844919786,-0.0014849716175229,-0.0014813366068697,-3.635010653150767e-06,0.0047375647452085,0.2181555,0.2255959125557687,0.2107150874442312,0.0682120098348995,0.3531331439205249,45.773111039714,91820099.0732041,0.1550453222477144,0.4,0.0026891707600573,0.0026927898231114,0.0122343672536256,,,,0.0219362168134857,0,0,DOGE,-0.00019203222466113168,0.5716692170799227
2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,0.21597,0.22135,0.21597,0.22063,74331165.215779,,0.0,0.2167879999999999,0.218175,0.2218553333333333,0,-0.0088499550763702,-0.0010449082390988,-0.0013940509333155,0.0003491426942167,0.0047834529776936,0.218175,0.22563916907633,0.21071083092367,0.0684236881066115,0.6644523305202961,54.323733946190025,91425871.1458418,0.8130211315920254,0.7,0.0213475811709589,0.0215770708894753,0.0131673089148987,,,,0.0216808819185677,0,0,DOGE,0.0037770527960299116,0.5810008525064341
