date,datetime,open,high,low,close,volume,funding_rate,open_interest
2025-10-13 16:00:00+00:00,2025-10-13 16:00:00+00:00,4135.71,4272.86,4129.44,4252.74,44984.644168,1.3050038911e-06,0.0
2025-10-13 20:00:00+00:00,2025-10-13 20:00:00+00:00,4252.73,4292.85,4235.49,4241.8,19326.830948,1.3050038911e-06,0.0
2025-10-14 00:00:00+00:00,2025-10-14 00:00:00+00:00,4241.8,4263.83,4137.83,4153.85,34167.864538,1.80220667216e-05,0.0
2025-10-14 04:00:00+00:00,2025-10-14 04:00:00+00:00,4153.85,4161.03,3964.96,3980.84,114268.919574,1.80220667216e-05,0.0
2025-10-14 08:00:00+00:00,2025-10-14 08:00:00+00:00,3980.98,4015.45,3888.41,3971.85,74320.679479,-2.1512924799e-06,0.0
2025-10-14 12:00:00+00:00,2025-10-14 12:00:00+00:00,3972.29,4089.05,3895.68,4085.94,97099.580001,-2.1512924799e-06,0.0
2025-10-14 16:00:00+00:00,2025-10-14 16:00:00+00:00,4086.59,4164.8,4047.83,4102.91,97111.114438,-3.52016411773e-05,0.0
2025-10-14 20:00:00+00:00,2025-10-14 20:00:00+00:00,4103.23,4145.01,4072.0,4124.95,28099.773832,-3.52016411773e-05,0.0
2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,4124.93,4146.01,4061.26,4081.63,38228.087009,6.35945596457e-05,0.0
2025-10-15 04:00:00+00:00,2025-10-15 04:00:00+00:00,4081.63,4130.0,4072.23,4121.8,29024.799012,6.35945596457e-05,0.0
2025-10-15 08:00:00+00:00,2025-10-15 08:00:00+00:00,4121.75,4216.66,4086.43,4100.35,49063.729852,4.0550498594e-05,0.0
2025-10-15 12:00:00+00:00,2025-10-15 12:00:00+00:00,4100.34,4108.0,3959.0,3981.08,72293.364231,4.0550498594e-05,0.0
2025-10-15 16:00:00+00:00,2025-10-15 16:00:00+00:00,3981.39,4013.52,3928.84,3983.59,48616.622453,8.6789466598e-06,0.0
2025-10-15 20:00:00+00:00,2025-10-15 20:00:00+00:00,3983.36,3996.35,3925.0,3986.15,37330.415753,8.6789466598e-06,0.0
