date,datetime,open,high,low,close,volume
2025-10-02 04:00:00+00:00,2025-10-02 04:00:00+00:00,223.8,226.75,222.4,222.92,142031.13076
2025-10-02 08:00:00+00:00,2025-10-02 08:00:00+00:00,222.93,226.64,222.71,225.24,64982.356115
2025-10-02 12:00:00+00:00,2025-10-02 12:00:00+00:00,225.25,227.45,222.56,227.16,214520.685995
2025-10-02 16:00:00+00:00,2025-10-02 16:00:00+00:00,227.17,233.76,226.19,232.25,247034.084786
2025-10-02 20:00:00+00:00,2025-10-02 20:00:00+00:00,232.25,235.0,230.73,234.74,133459.971304
2025-10-03 00:00:00+00:00,2025-10-03 00:00:00+00:00,234.74,234.84,230.52,232.26,124843.905211
2025-10-03 04:00:00+00:00,2025-10-03 04:00:00+00:00,232.26,233.25,227.78,229.41,145352.329055
2025-10-03 08:00:00+00:00,2025-10-03 08:00:00+00:00,229.42,231.81,227.89,230.79,123150.960256
2025-10-03 12:00:00+00:00,2025-10-03 12:00:00+00:00,230.8,235.0,227.1,234.79,234103.698561
2025-10-03 16:00:00+00:00,2025-10-03 16:00:00+00:00,234.8,236.99,228.4,233.16,363189.226032
2025-10-03 20:00:00+00:00,2025-10-03 20:00:00+00:00,233.16,234.0,230.7,232.86,78713.512694
2025-10-04 00:00:00+00:00,2025-10-04 00:00:00+00:00,232.84,234.06,227.94,229.24,125631.826766
2025-10-04 04:00:00+00:00,2025-10-04 04:00:00+00:00,229.25,230.54,228.77,229.16,57817.346476
2025-10-04 08:00:00+00:00,2025-10-04 08:00:00+00:00,229.16,229.9,228.22,229.18,39763.857413
2025-10-04 12:00:00+00:00,2025-10-04 12:00:00+00:00,229.19,229.83,224.18,224.85,132247.947428
2025-10-04 16:00:00+00:00,2025-10-04 16:00:00+00:00,224.85,227.03,224.16,226.94,61964.343358
2025-10-04 20:00:00+00:00,2025-10-04 20:00:00+00:00,226.94,228.28,226.81,227.85,33847.104742
2025-10-05 00:00:00+00:00,2025-10-05 00:00:00+00:00,227.86,232.3,226.5,230.91,145629.873634
2025-10-05 04:00:00+00:00,2025-10-05 04:00:00+00:00,230.91,236.94,230.91,236.61,188476.231897
2025-10-05 08:00:00+00:00,2025-10-05 08:00:00+00:00,236.61,237.23,230.71,232.66,151922.161186
2025-10-05 12:00:00+00:00,2025-10-05 12:00:00+00:00,232.66,232.68,228.4,230.16,111377.542123
2025-10-05 16:00:00+00:00,2025-10-05 16:00:00+00:00,230.17,231.47,226.74,227.1,121998.070579
2025-10-05 20:00:00+00:00,2025-10-05 20:00:00+00:00,227.1,229.29,226.73,228.58,63330.519848
2025-10-06 00:00:00+00:00,2025-10-06 00:00:00+00:00,228.6,233.33,227.57,232.28,154543.186425
2025-10-06 04:00:00+00:00,2025-10-06 04:00:00+00:00,232.26,234.86,230.14,231.36,125964.034062
2025-10-06 08:00:00+00:00,2025-10-06 08:00:00+00:00,231.37,234.13,231.37,233.02,84504.326183
2025-10-06 12:00:00+00:00,2025-10-06 12:00:00+00:00,233.04,236.7,232.69,235.62,167124.960913
2025-10-06 16:00:00+00:00,2025-10-06 16:00:00+00:00,235.62,237.82,234.03,235.36,128322.349522
2025-10-06 20:00:00+00:00,2025-10-06 20:00:00+00:00,235.36,236.14,231.69,232.37,120611.186427
2025-10-07 00:00:00+00:00,2025-10-07 00:00:00+00:00,232.39,233.97,231.0,233.9,98902.418261
2025-10-07 04:00:00+00:00,2025-10-07 04:00:00+00:00,233.91,235.2,229.45,231.01,136313.917487
2025-10-07 08:00:00+00:00,2025-10-07 08:00:00+00:00,231.02,231.68,228.28,230.48,138091.252217
2025-10-07 12:00:00+00:00,2025-10-07 12:00:00+00:00,230.48,231.66,221.28,223.81,409527.997211
2025-10-07 16:00:00+00:00,2025-10-07 16:00:00+00:00,223.82,225.31,220.69,221.68,161167.30334
2025-10-07 20:00:00+00:00,2025-10-07 20:00:00+00:00,221.72,224.27,219.49,219.93,90861.996853
2025-10-08 00:00:00+00:00,2025-10-08 00:00:00+00:00,219.94,222.77,217.8,218.31,137213.413872
2025-10-08 04:00:00+00:00,2025-10-08 04:00:00+00:00,218.31,221.04,217.32,220.93,94715.135379
2025-10-08 08:00:00+00:00,2025-10-08 08:00:00+00:00,220.94,222.64,220.65,221.21,77037.724426
2025-10-08 12:00:00+00:00,2025-10-08 12:00:00+00:00,221.2,224.19,218.83,221.25,180415.877731
2025-10-08 16:00:00+00:00,2025-10-08 16:00:00+00:00,221.24,229.65,220.7,229.28,198121.924913
2025-10-08 20:00:00+00:00,2025-10-08 20:00:00+00:00,229.31,229.8,227.42,229.05,140280.298602
2025-10-09 00:00:00+00:00,2025-10-09 00:00:00+00:00,229.05,229.7,223.84,226.16,140601.79763
2025-10-09 04:00:00+00:00,2025-10-09 04:00:00+00:00,226.17,228.75,224.17,224.54,108859.545685
2025-10-09 08:00:00+00:00,2025-10-09 08:00:00+00:00,224.53,224.8,219.37,223.11,176685.387526
2025-10-09 12:00:00+00:00,2025-10-09 12:00:00+00:00,223.12,226.32,218.63,219.11,193614.451596
2025-10-09 16:00:00+00:00,2025-10-09 16:00:00+00:00,219.11,220.15,216.5,218.29,117736.127846
2025-10-09 20:00:00+00:00,2025-10-09 20:00:00+00:00,218.28,221.7,217.6,220.94,52004.406294
2025-10-10 00:00:00+00:00,2025-10-10 00:00:00+00:00,220.94,222.86,219.44,221.64,79668.87287
2025-10-10 04:00:00+00:00,2025-10-10 04:00:00+00:00,221.63,222.88,217.85,218.11,82609.579795
2025-10-10 08:00:00+00:00,2025-10-10 08:00:00+00:00,218.11,221.54,217.4,221.13,70100.092499
